code,avg_vol,industry,market_val,alpha,beta,gamma,VL
1760,"12,552",medical,109.7,0.07610366,0.88271612,0.04118023,1.12E-05
1795,"15,117",medical,392.9,0.11272415,0.81568403,0.07159183,1.14E-05
2308,"6,904",electronic,"6,506.70",0.06449559,0.91691549,0.01858893,2.74E-06
2317,"36,441",electronic,"14,902.70",0.12699364,0.18998417,0.68302219,7.63E-06
2330,"39,567",electronic,"129,522.30",0.08330208,0.88750715,0.02919077,1.04E-06
2412,"14,911",electronic,"9,308.90",0.22638257,0.19842106,0.57519637,6.64E-06
2454,"7,949",electronic,"11,001.80",0.03868714,0,0.96131286,1.75E-06
2603,"116,137",shipment,"4,873.00",0.1224272,0.85054583,0.02702697,1.92E-06
2608,637,shipment,188.7,0.213931206,3.68E-17,0.786068794,3.97E-06
2609,"63,289",shipment,"3,034.60",0.10610079,0.87207627,0.02182295,1.81E-06
2615,"23,493",shipment,"2,918.30",0.33760408,0.08931926,0.57307666,8.79E-06
2618,"112,193",shipment,"1,811.80",0.03729968,0.93808751,0.02461281,2.02E-06
2801,"6,223",finance,"1,840.70",0.13302727,0.43960059,0.42737214,2.74E-06
2884,"29,073",finance,"3,892.90",0.27436317,0,0.72563683,1.35E-06
2886,"13,450",finance,"4,685.10",0.21247922,0.67635355,0.11116722,8.29E-07
2891,"52,877",finance,"4,539.30",0.284182784,3.67E-17,0.715817216,2.16E-06
2892,"15,661",finance,"3,370.70",0.12495141,0.54457299,0.3304756,1.91E-06
4142,"4,971",medical,174.6,0.18734554,0.7503867,0.06226776,2.31E-06
6446,"2,405",medical,"1,494.70",0.167125,0.76774831,0.06512669,4.96E-06
6472,"3,358",medical,165.1,0.08764279,0.90425202,0.00810519,1.01E-05
